Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,02-Sep-2013,50.08,50.09,50.08,50.09,16595
AAC.AX,02-Sep-2013,1.105,1.125,1.105,1.115,260157
AAD.AX,02-Sep-2013,1.845,1.885,1.83,1.88,1205542
AAI.AX,02-Sep-2013,8.2,8.2,8.2,8.2,0
AAJ.AX,02-Sep-2013,0.022,0.022,0.022,0.022,0
AAK.AX,02-Sep-2013,0.001,0.001,0.001,0.001,0
AAL.AX,02-Sep-2013,0.002,0.002,0.002,0.002,0
AAP.AX,02-Sep-2013,0.012,0.013,0.012,0.013,550000
AAR.AX,02-Sep-2013,0.004,0.004,0.004,0.004,0
AAT.AX,02-Sep-2013,0.013,0.013,0.013,0.013,0
AAU.AX,02-Sep-2013,0.069,0.07,0.069,0.07,44000
AAX.AX,02-Sep-2013,1.63,1.645,1.625,1.64,228455
ABC.AX,02-Sep-2013,3.35,3.48,3.32,3.47,1364719
ABCKOA.AX,02-Sep-2013,0.81,0.81,0.81,0.81,0
ABCKOP.AX,02-Sep-2013,1.1,1.1,1.1,1.1,0
ABP.AX,02-Sep-2013,2.26,2.26,2.23,2.25,424271
ABU.AX,02-Sep-2013,0.036,0.037,0.036,0.037,3074133
ABV.AX,02-Sep-2013,0.017,0.017,0.017,0.017,30000
ABW.AX,02-Sep-2013,1.07,1.07,1.07,1.07,103850
ABY.AX,02-Sep-2013,0.375,0.375,0.37,0.375,61365
ACB.AX,02-Sep-2013,0.065,0.065,0.065,0.065,49313
ACE.AX,02-Sep-2013,0.019,0.019,0.019,0.019,0
ACG.AX,02-Sep-2013,0.13,0.135,0.125,0.125,840664
ACK.AX,02-Sep-2013,0.26,0.26,0.26,0.26,4010
ACL.AX,02-Sep-2013,0.42,0.44,0.42,0.43,178408
ACP.AX,02-Sep-2013,0.09,0.09,0.09,0.09,0
ACR.AX,02-Sep-2013,3.35,3.4,3.3,3.4,612161
ACS.AX,02-Sep-2013,0.18,0.18,0.18,0.18,0
ACU.AX,02-Sep-2013,0.001,0.001,0.001,0.001,0
ACW.AX,02-Sep-2013,0.012,0.012,0.012,0.012,71666
ADA.AX,02-Sep-2013,0.34,0.34,0.34,0.34,0
ADD.AX,02-Sep-2013,0.004,0.004,0.004,0.004,0
ADJ.AX,02-Sep-2013,0.056,0.061,0.055,0.061,610575
ADN.AX,02-Sep-2013,0.074,0.075,0.074,0.075,226000
ADO.AX,02-Sep-2013,0.057,0.057,0.053,0.054,2479005
ADQ.AX,02-Sep-2013,0.016,0.018,0.016,0.018,173315
ADX.AX,02-Sep-2013,0.019,0.022,0.019,0.021,4011307
ADY.AX,02-Sep-2013,0.019,0.019,0.018,0.018,54800
AEB.AX,02-Sep-2013,0.195,0.195,0.195,0.195,2565
AED.AX,02-Sep-2013,0.145,0.145,0.145,0.145,0
AEE.AX,02-Sep-2013,0.06,0.06,0.06,0.06,0
AEF.AX,02-Sep-2013,22.9,22.9,22.9,22.9,0
AEI.AX,02-Sep-2013,0.18,0.18,0.18,0.18,0
AEJ.AX,02-Sep-2013,7.2,7.2,7.2,7.2,0
AES.AX,02-Sep-2013,0.035,0.035,0.035,0.035,0
AFA.AX,02-Sep-2013,0.2,0.2,0.2,0.2,0
AFI.AX,02-Sep-2013,5.67,5.69,5.63,5.69,372029
AFIG.AX,02-Sep-2013,116.999,117,115.5,115.5,273
AFR.AX,02-Sep-2013,0.08,0.08,0.08,0.08,0
AFT.AX,02-Sep-2013,0.001,0.001,0.001,0.001,0
AGD.AX,02-Sep-2013,0.14,0.14,0.14,0.14,0
AGE.AX,02-Sep-2013,0.033,0.033,0.033,0.033,6500
AGF.AX,02-Sep-2013,0.75,0.76,0.745,0.75,278392
AGG.AX,02-Sep-2013,3.05,3.07,3.05,3.07,2900
AGI.AX,02-Sep-2013,4.1,4.14,4.04,4.1,323346
AGJ.AX,02-Sep-2013,0.095,0.095,0.095,0.095,0
AGO.AX,02-Sep-2013,0.79,0.807,0.77,0.79,11304314
AGOKOS.AX,02-Sep-2013,0.83,0.83,0.83,0.83,0
AGOKOU.AX,02-Sep-2013,0.325,0.325,0.325,0.325,0
AGR.AX,02-Sep-2013,0.066,0.068,0.066,0.068,259633
AGS.AX,02-Sep-2013,0.145,0.15,0.145,0.145,49767
AGX.AX,02-Sep-2013,0.025,0.025,0.025,0.025,0
AGY.AX,02-Sep-2013,0.02,0.02,0.02,0.02,0
AHD.AX,02-Sep-2013,8.02,8.09,8.02,8.05,55002
AHK.AX,02-Sep-2013,0.065,0.065,0.065,0.065,0
AHN.AX,02-Sep-2013,0.028,0.028,0.028,0.028,0
AHQ.AX,02-Sep-2013,0.02,0.02,0.02,0.02,0
AHR.AX,02-Sep-2013,0.19,0.19,0.19,0.19,0
AHZ.AX,02-Sep-2013,0.097,0.105,0.095,0.1,32122529
AIA.AX,02-Sep-2013,2.68,2.75,2.66,2.69,37582
AIB.AX,02-Sep-2013,1,1,1,1,0
AIK.AX,02-Sep-2013,0.057,0.057,0.057,0.057,0
AIO.AX,02-Sep-2013,5.63,5.67,5.56,5.64,2934445
AIOKOB.AX,02-Sep-2013,0.645,0.645,0.645,0.645,0
AIQ.AX,02-Sep-2013,0.295,0.295,0.295,0.295,34200
AIR.AX,02-Sep-2013,0.1,0.1,0.1,0.1,150411
AIV.AX,02-Sep-2013,0.022,0.022,0.022,0.022,0
AIY.AX,02-Sep-2013,0.04,0.04,0.04,0.04,0
AIZ.AX,02-Sep-2013,1.23,1.25,1.23,1.23,17016
AJA.AX,02-Sep-2013,3.36,3.4,3.36,3.4,32190
AJC.AX,02-Sep-2013,0.011,0.012,0.011,0.012,150763
AJD.AX,02-Sep-2013,1.1,1.1,1.1,1.1,2500
AJJ.AX,02-Sep-2013,0.135,0.135,0.135,0.135,0
AJL.AX,02-Sep-2013,1.37,1.43,1.37,1.4,52513
AJM.AX,02-Sep-2013,0.12,0.12,0.115,0.115,526000
AJO.AX,02-Sep-2013,1.79,1.79,1.79,1.79,0
AJQ.AX,02-Sep-2013,0.34,0.35,0.325,0.35,309912
AJR.AX,02-Sep-2013,0.01,0.01,0.01,0.01,102000
AJX.AX,02-Sep-2013,0.12,0.125,0.12,0.125,105500
AJY.AX,02-Sep-2013,0.245,0.245,0.245,0.245,0
AKF.AX,02-Sep-2013,0.125,0.125,0.125,0.125,0
AKG.AX,02-Sep-2013,0.96,0.96,0.96,0.96,0
AKK.AX,02-Sep-2013,0.011,0.012,0.011,0.011,1660000
AKM.AX,02-Sep-2013,0.051,0.051,0.049,0.049,178881
AKP.AX,02-Sep-2013,4,4,4,4,0
AKY.AX,02-Sep-2013,80.68,80.68,80.68,80.68,0
ALF.AX,02-Sep-2013,1.65,1.66,1.645,1.66,457391
ALK.AX,02-Sep-2013,0.355,0.36,0.35,0.35,155459
ALL.AX,02-Sep-2013,4.54,4.61,4.49,4.61,940444
ALLKOD.AX,02-Sep-2013,2.35,2.35,2.35,2.35,0
ALQ.AX,02-Sep-2013,9.35,9.4,9.24,9.3,882855
ALQKOB.AX,02-Sep-2013,1.595,1.595,1.595,1.595,0
ALQKOC.AX,02-Sep-2013,1.855,1.855,1.855,1.855,0
ALR.AX,02-Sep-2013,1.3,1.3,1.29,1.29,21289
ALT.AX,02-Sep-2013,0.021,0.021,0.021,0.021,986168
ALU.AX,02-Sep-2013,2.65,2.7,2.61,2.64,164659
ALY.AX,02-Sep-2013,0.052,0.052,0.05,0.05,76600
AMA.AX,02-Sep-2013,0.325,0.325,0.32,0.325,44647
AMB.AX,02-Sep-2013,0.195,0.195,0.195,0.195,0
AMC.AX,02-Sep-2013,10.33,10.39,10.24,10.34,4741362
AMCKOC.AX,02-Sep-2013,1.63,1.63,1.63,1.63,0
AMCKOP.AX,02-Sep-2013,1.505,1.505,1.505,1.505,3300
AMCKOQ.AX,02-Sep-2013,2.08,2.08,2.08,2.08,0
AMH.AX,02-Sep-2013,0.89,0.9,0.89,0.9,59762
AMI.AX,02-Sep-2013,0.26,0.26,0.25,0.25,470100
AMO.AX,02-Sep-2013,0.235,0.235,0.235,0.235,0
AMP.AX,02-Sep-2013,4.64,4.72,4.62,4.69,8032271
AMPKOB.AX,02-Sep-2013,0.7,0.7,0.7,0.7,0
AMPKOV.AX,02-Sep-2013,0.87,0.87,0.87,0.87,0
AMPLOC.AX,02-Sep-2013,0.41,0.41,0.41,0.41,0
AMPLOR.AX,02-Sep-2013,0.63,0.63,0.63,0.63,0
AMT.AX,02-Sep-2013,0.06,0.06,0.06,0.06,0
ANB.AX,02-Sep-2013,0.16,0.16,0.16,0.16,0
ANG.AX,02-Sep-2013,3.47,3.6,3.43,3.5,53477
ANN.AX,02-Sep-2013,19.65,21,19.5,20.34,471936
ANNKOC.AX,02-Sep-2013,2.36,2.36,2.36,2.36,0
ANNKOP.AX,02-Sep-2013,2.75,2.75,2.75,2.75,0
ANO.AX,02-Sep-2013,0.011,0.011,0.011,0.011,4300000
ANP.AX,02-Sep-2013,0.015,0.015,0.014,0.014,1349003
ANQ.AX,02-Sep-2013,0.008,0.008,0.008,0.008,317506
ANW.AX,02-Sep-2013,0.008,0.008,0.007,0.007,205000
ANZ.AX,02-Sep-2013,29.72,30.08,29.63,30,4655360
ANZHA.AX,02-Sep-2013,104,104.199,103.847,104,7298
ANZKOF.AX,02-Sep-2013,6.34,6.34,6.34,6.34,490
ANZKOP.AX,02-Sep-2013,1.87,1.87,1.87,1.87,0
ANZKOQ.AX,02-Sep-2013,3.22,3.22,3.22,3.22,0
ANZKOR.AX,02-Sep-2013,1.86,1.86,1.79,1.79,5376
ANZKOT.AX,02-Sep-2013,2.69,2.69,2.56,2.67,8000
ANZKOY.AX,02-Sep-2013,4.92,4.92,4.92,4.92,0
ANZLOC.AX,02-Sep-2013,3.27,3.27,3.27,3.27,3000
ANZLOQ.AX,02-Sep-2013,1.77,1.77,1.77,1.77,0
ANZLOR.AX,02-Sep-2013,1.285,1.285,1.285,1.285,0
ANZLOS.AX,02-Sep-2013,1.665,1.665,1.665,1.665,0
ANZPA.AX,02-Sep-2013,101.34,101.969,100.81,101.201,10262
ANZPC.AX,02-Sep-2013,100.4,100.73,100.4,100.599,7646
ANZPD.AX,02-Sep-2013,100.22,100.26,100.17,100.26,10799
AOA.AX,02-Sep-2013,0.02,0.02,0.02,0.02,0
AOD.AX,02-Sep-2013,1.035,1.035,1.035,1.035,2500
AOH.AX,02-Sep-2013,0.135,0.145,0.135,0.14,1782048
AOK.AX,02-Sep-2013,0.125,0.13,0.125,0.125,177342
AON.AX,02-Sep-2013,0.038,0.038,0.038,0.038,0
AOP.AX,02-Sep-2013,0.071,0.071,0.07,0.07,26866
AOU.AX,02-Sep-2013,0.1,0.1,0.1,0.1,0
APA.AX,02-Sep-2013,5.99,6.05,5.98,6.03,1363487
APAKOC.AX,02-Sep-2013,1.38,1.38,1.38,1.38,0
APD.AX,02-Sep-2013,0.275,0.275,0.275,0.275,2200
APE.AX,02-Sep-2013,4.65,4.65,4.65,4.65,2800
APG.AX,02-Sep-2013,0.034,0.036,0.034,0.036,290000
API.AX,02-Sep-2013,0.485,0.485,0.477,0.485,195977
APN.AX,02-Sep-2013,0.345,0.35,0.345,0.35,238324
APZ.AX,02-Sep-2013,0.175,0.18,0.175,0.175,20720921
AQC.AX,02-Sep-2013,0.013,0.014,0.013,0.014,3438658
AQD.AX,02-Sep-2013,0.019,0.019,0.019,0.019,0
AQF.AX,02-Sep-2013,1.86,1.86,1.86,1.86,64205
AQG.AX,02-Sep-2013,3.4,3.55,3.33,3.55,496399
AQHHA.AX,02-Sep-2013,106.25,106.49,105.35,105.9,4221
AQI.AX,02-Sep-2013,0.15,0.15,0.15,0.15,0
AQP.AX,02-Sep-2013,0.8,0.812,0.8,0.81,117671
AQPKOC.AX,02-Sep-2013,0.2,0.2,0.2,0.2,0
AQQ.AX,02-Sep-2013,0.031,0.031,0.031,0.031,0
AQR.AX,02-Sep-2013,0.15,0.16,0.15,0.16,35050
AQZ.AX,02-Sep-2013,1.63,1.63,1.6,1.6,40683
ARA.AX,02-Sep-2013,0.29,0.29,0.29,0.29,15661
ARD.AX,02-Sep-2013,0.049,0.049,0.049,0.049,19950
ARE.AX,02-Sep-2013,0.021,0.021,0.021,0.021,0
ARF.AX,02-Sep-2013,1.07,1.07,1.06,1.065,105074
ARG.AX,02-Sep-2013,6.87,6.9,6.84,6.84,115472
ARH.AX,02-Sep-2013,0.034,0.034,0.034,0.034,10000
ARI.AX,02-Sep-2013,1.14,1.175,1.135,1.155,6547442
